Song,Artist,Genre,Popularity,Mood,Theme,Energy
Blinding Lights,The Weeknd,Pop,95,Energetic,Love,High
Shape of You,Ed Sheeran,Pop,93,Happy,Romance,Medium
Someone Like You,Adele,Pop,90,Sad,Breakup,Low
HUMBLE.,Kendrick Lamar,Hip-Hop,91,Aggressive,Power,High
Levitating,Dua Lipa,Pop,92,Fun,Love,High
Stay,The Kid LAROI,Pop,89,Emotional,Relationship,Medium
Bad Guy,Billie Eilish,Pop,90,Dark,Identity,Medium
Sicko Mode,Travis Scott,Hip-Hop,88,Hype,Lifestyle,High
Perfect,Ed Sheeran,Pop,87,Romantic,Love,Low
Rolling in the Deep,Adele,Pop,89,Intense,Betrayal,Medium
God’s Plan,Drake,Hip-Hop,91,Calm,Success,Medium
Sunflower,Post Malone,Pop,90,Chill,Love,Medium
Old Town Road,Lil Nas X,Country Rap,92,Fun,Fame,Medium
Drivers License,Olivia Rodrigo,Pop,91,Sad,Heartbreak,Low
Industry Baby,Lil Nas X,Hip-Hop,90,Confident,Success,High
Counting Stars,OneRepublic,Pop,88,Hopeful,Dreams,Medium
Lose Yourself,Eminem,Hip-Hop,93,Motivational,Success,High
Calm Down,Rema,Afrobeat,89,Chill,Love,Medium
As It Was,Harry Styles,Pop,91,Reflective,Change,Medium
Love Yourself,Justin Bieber,Pop,87,Calm,Breakup,Low
Rockstar,Post Malone,Hip-Hop,90,Dark,Fame,High
Senorita,Shawn Mendes,Pop,88,Romantic,Love,Medium
Havana,Camila Cabello,Pop,89,Fun,Love,Medium
Circles,Post Malone,Pop,90,Chill,Breakup,Medium
Memories,Maroon 5,Pop,87,Nostalgic,Memory,Low
Believer,Imagine Dragons,Rock,88,Intense,Pain,High
Thunder,Imagine Dragons,Rock,86,Motivational,Success,High
Radioactive,Imagine Dragons,Rock,87,Dark,Change,High
Closer,The Chainsmokers,EDM,89,Emotional,Love,Medium
Roses,The Chainsmokers,EDM,86,Chill,Love,Medium
Faded,Alan Walker,EDM,90,Sad,Loss,Medium
Alone,Alan Walker,EDM,87,Lonely,Identity,Medium
Animals,Martin Garrix,EDM,88,Hype,Party,High
Titanium,David Guetta,EDM,89,Strong,Resilience,High
Wake Me Up,Avicii,EDM,90,Hopeful,Life,Medium
Levels,Avicii,EDM,91,Happy,Celebration,High
Cheap Thrills,Sia,Pop,88,Fun,Enjoyment,High
Elastic Heart,Sia,Pop,87,Emotional,Strength,Medium
Chandelier,Sia,Pop,89,Intense,Struggle,High
Royals,Lorde,Pop,86,Calm,Society,Low
Team,Lorde,Pop,85,Reflective,Youth,Medium
Yellow,Coldplay,Rock,88,Romantic,Love,Low
Fix You,Coldplay,Rock,90,Emotional,Healing,Low
Paradise,Coldplay,Rock,87,Hopeful,Escape,Medium
Viva La Vida,Coldplay,Rock,89,Reflective,Power,Medium
Numb,Linkin Park,Rock,91,Sad,Pressure,High
In the End,Linkin Park,Rock,92,Emotional,Failure,High
Faint,Linkin Park,Rock,88,Aggressive,Frustration,High
Smells Like Teen Spirit,Nirvana,Rock,93,Rebellious,Youth,High
Come As You Are,Nirvana,Rock,90,Calm,Identity,Medium
Billie Jean,Michael Jackson,Pop,95,Groovy,Fame,Medium
Thriller,Michael Jackson,Pop,96,Fun,Horror,High
Beat It,Michael Jackson,Pop,94,Aggressive,Conflict,High
Smooth Criminal,Michael Jackson,Pop,93,Dark,Crime,High
Uptown Funk,Bruno Mars,Funk,94,Fun,Party,High
Grenade,Bruno Mars,Pop,89,Sad,Love,Medium
Locked Out of Heaven,Bruno Mars,Pop,90,Energetic,Love,High
Just the Way You Are,Bruno Mars,Pop,91,Romantic,Love,Low
Sorry,Justin Bieber,Pop,90,Chill,Apology,Medium
Peaches,Justin Bieber,Pop,88,Chill,Lifestyle,Medium
Baby,Justin Bieber,Pop,87,Happy,Love,Medium
Firework,Katy Perry,Pop,89,Motivational,Confidence,High
Roar,Katy Perry,Pop,90,Strong,Empowerment,High
Dark Horse,Katy Perry,Pop,88,Dark,Power,Medium
Shake It Off,Taylor Swift,Pop,91,Happy,Confidence,High
Blank Space,Taylor Swift,Pop,90,Playful,Love,Medium
Love Story,Taylor Swift,Pop,92,Romantic,Love,Medium
Anti-Hero,Taylor Swift,Pop,91,Reflective,Identity,Medium
Bad Blood,Taylor Swift,Pop,88,Aggressive,Conflict,High
Style,Taylor Swift,Pop,89,Cool,Love,Medium
Wildest Dreams,Taylor Swift,Pop,90,Dreamy,Love,Low
Heat Waves,Glass Animals,Pop,89,Chill,Love,Medium
Let Her Go,Passenger,Pop,88,Sad,Loss,Low
Photograph,Ed Sheeran,Pop,90,Emotional,Memory,Low
